이름,주소,위도,경도,geometry,capacity,business_hours,break_time
학하수소충전소,대전광역시 유성구 유성대로 437,36.335908,127.316275,POINT (127.316275 36.335908),1,"[540, 1200]","[720, 780]"
신대수소버스충전소,대전광역시 대덕구 신탄진로315번길 72,36.40648,127.422514,POINT (127.422514 36.40648),2,"[240, 1440]","[0, 0]"
낭월수소버스충전소,대전광역시 동구 금산로 455,36.267989,127.477952,POINT (127.477952 36.267989),2,"[240, 1440]","[0, 0]"
대전유성수소충전소,대전광역시 유성구 현충원로 168,36.359694,127.29063,POINT (127.29063 36.359694),2,"[480, 1200]","[0, 0]"
하이넷자운대충전소,대전광역시 유성구 자운로 62,36.393269,127.342414,POINT (127.342414 36.393269),1,"[480, 1200]","[0, 0]"
대전중도가스수소충전소,대전광역시 동구 대전로 295,36.294452,127.460783,POINT (127.460783 36.294452),1,"[480, 1200]","[0, 0]"
하이넷신탄진휴게소수소충전소,대전광역시 대덕구 산업단지로 27,36.428283,127.417995,POINT (127.417995 36.428283),1,"[480, 1320]","[0, 0]"
