geometry,구,lon,lat
POINT (127.4662126859944 36.28753733509714),동구,127.46621268599444,36.28753733509714
POINT (127.4643874 36.32536083333333),동구,127.46438739999999,36.325360833333335
POINT (127.4223759 36.34703488),동구,127.4223759,36.347034879999995
POINT (127.497978975 36.345995525),동구,127.497978975,36.345995525
POINT (127.4563139651792 36.33099298149348),동구,127.45631396517916,36.33099298149348
POINT (127.4552098369601 36.30291939335162),동구,127.45520983696007,36.30291939335162
POINT (127.4617031 36.3275772),동구,127.4617031,36.3275772
POINT (127.4161666 36.34445655),동구,127.4161666,36.344456550000004
POINT (127.4519388124664 36.35374202181716),동구,127.45193881246637,36.35374202181716
POINT (127.442412189108 36.28087049502103),동구,127.44241218910803,36.280870495021034
POINT (127.4448821 36.3223212),동구,127.4448821,36.322321200000005
POINT (127.4592691666667 36.32949),동구,127.45926916666667,36.32949
POINT (127.4570129333333 36.33372043333333),동구,127.45701293333333,36.33372043333333
POINT (127.4286463 36.3456476),동구,127.4286463,36.3456476
POINT (127.4665632304939 36.39988447960669),동구,127.46656323049389,36.39988447960669
POINT (127.4319062333333 36.3306546),동구,127.43190623333334,36.3306546
POINT (127.4505936333333 36.33465936666666),동구,127.45059363333333,36.33465936666666
POINT (127.44770685 36.34045362499999),동구,127.44770685,36.340453624999995
POINT (127.4248957913961 36.34825859042209),동구,127.42489579139612,36.34825859042209
POINT (127.4170237240428 36.33961962095369),동구,127.41702372404279,36.33961962095369
POINT (127.44159255 36.3472531),동구,127.44159255,36.3472531
POINT (127.4549738989562 36.28723178534086),동구,127.45497389895615,36.28723178534086
POINT (127.444472975 36.336269275),동구,127.444472975,36.336269275
POINT (127.43283085 36.3562796),동구,127.43283085,36.3562796
POINT (127.458556230103 36.33481305990718),동구,127.45855623010301,36.33481305990718
POINT (127.43687515 36.32274495),동구,127.43687514999999,36.32274495
POINT (127.4512867113313 36.3423808034275),동구,127.45128671133135,36.342380803427496
POINT (127.46565455 36.3288812),동구,127.46565455000001,36.3288812
POINT (127.4262548463663 36.35081991347644),동구,127.42625484636629,36.35081991347644
POINT (127.4210013267561 36.34426066672592),동구,127.42100132675607,36.34426066672592
POINT (127.465484387801 36.31844702067464),동구,127.46548438780104,36.31844702067464
POINT (127.4856327576771 36.33602093053317),동구,127.48563275767708,36.336020930533174
POINT (127.4331598064421 36.35867883624746),동구,127.43315980644215,36.358678836247456
POINT (127.44615985 36.31262175000001),동구,127.44615985,36.312621750000005
POINT (127.4656054828145 36.27321186767546),동구,127.46560548281451,36.27321186767546
POINT (127.4323417 36.3537565),동구,127.4323417,36.3537565
POINT (127.4453711533615 36.31446012790438),동구,127.44537115336146,36.31446012790438
POINT (127.4287415889724 36.34778680966678),동구,127.42874158897239,36.34778680966678
POINT (127.4641856467416 36.32577999465433),동구,127.46418564674164,36.32577999465433
POINT (127.4474912 36.33058443333334),동구,127.4474912,36.330584433333335
POINT (127.4348471333333 36.34388943333333),동구,127.43484713333334,36.34388943333333
POINT (127.4592906 36.32770736666667),동구,127.4592906,36.327707366666665
POINT (127.47978405 36.25768155),동구,127.47978405,36.25768155
POINT (127.4596165328385 36.34305702843766),동구,127.45961653283845,36.343057028437656
POINT (127.4318495739394 36.34782554761912),동구,127.43184957393936,36.347825547619124
POINT (127.4315941666667 36.3482861),동구,127.43159416666667,36.3482861
POINT (127.4581035822042 36.32318965219402),동구,127.45810358220423,36.32318965219402
POINT (127.4316773821877 36.3416299998676),동구,127.43167738218767,36.3416299998676
POINT (127.4478908 36.32140933333334),동구,127.4478908,36.321409333333335
POINT (127.42904282 36.35019178),동구,127.42904282,36.35019178
POINT (127.4305661363973 36.33614864056068),동구,127.43056613639729,36.33614864056068
POINT (127.44820426 36.3469416),동구,127.44820426,36.3469416
POINT (127.44714715 36.3213307),동구,127.44714715,36.321330700000004
POINT (127.4666582068571 36.31815955229085),동구,127.46665820685713,36.31815955229085
POINT (127.43383584 36.35405959),동구,127.43383584,36.35405959
POINT (127.4354963039876 36.32832119617054),동구,127.4354963039876,36.32832119617054
POINT (127.4506347 36.34963013333333),동구,127.4506347,36.349630133333335
POINT (127.5100038683172 36.37208013173517),동구,127.51000386831721,36.372080131735174
POINT (127.4499481758421 36.20015677333033),동구,127.44994817584207,36.20015677333033
POINT (127.4426526012386 36.34261688379582),동구,127.44265260123858,36.34261688379582
POINT (127.4452665 36.32669385),동구,127.4452665,36.32669385
POINT (127.45167415 36.3402737),동구,127.45167415,36.3402737
POINT (127.4455392 36.3474061),동구,127.4455392,36.3474061
POINT (127.4766350452569 36.31915957605664),동구,127.47663504525693,36.31915957605664
POINT (127.4272627087721 36.34599316875273),동구,127.42726270877212,36.345993168752734
POINT (127.417625479458 36.33944292043665),동구,127.41762547945801,36.339442920436646
POINT (127.4625233761414 36.32633039004212),동구,127.46252337614136,36.326330390042116
POINT (127.4324023 36.3469086),동구,127.4324023,36.3469086
POINT (127.4937396770294 36.34280187593259),동구,127.4937396770294,36.342801875932594
POINT (127.43274315 36.35183785),동구,127.43274315,36.351837849999995
POINT (127.4262924103292 36.34961368476476),동구,127.42629241032917,36.34961368476476
POINT (127.4181476 36.34011553333333),동구,127.4181476,36.34011553333333
POINT (127.430861 36.3294085),동구,127.430861,36.3294085
POINT (127.4259980175409 36.3473144828688),동구,127.42599801754093,36.3473144828688
POINT (127.4253070841769 36.34665508075155),동구,127.42530708417691,36.34665508075155
POINT (127.4584712666667 36.3246758),동구,127.45847126666666,36.3246758
POINT (127.43218572 36.34995136),동구,127.43218572,36.34995136
